Name;Vintage;Volume;Lot Size;Seal Codes;Critic Ratings
Paul Sauer;2010;750ml;1;;"<p>&lsquo;<em>Thrilling return to form for iconic Bordeaux blend Cabernet Sauvignon (68%) and equal Merlot, Cabernet Franc. 2010 red and black fruit, incense on the nose, plenty of reined-in power on the palate. Great fruit definition, bright acidity, firm but fine tannins. 100% new oak, 26 months. Promises to give much pleasure in the future.&rsquo;</em> &ndash; Platter&rsquo;s SA Wine Guide, 4.5* (2014)</p>
<p><em>&lsquo;A direct beam of blackberry and black currant fruit is intertwined with savory, sanguine and lightly singed cedar notes. Shows good focus through the finish, where a perfumy rooibos tea accent lingers. Sneakily long and should unfold more in the cellar. Cabernet Sauvignon, Cabernet Franc and Merlot.&rsquo;</em> &ndash; James Molesworth, Wine Spectator, 91/100 (Apr 2015)</p>"
Paul Sauer;2011;750ml;1;;"<p><i>&lsquo;Always close to the top of the red Bordeaux style pile in South Africa, Paul Sauer is one of a </i><i>handful of wines that is collectible, partly because of its track record, but also because it ages so well. This blend of Cabernet with 18% Cabernet Franc and 12% Merlot is aged entirely in new oak, but you&rsquo;d never know it, such is its grace and poise. Subtle, leafy, spicy and very fine. Drink: 2015-30.&rsquo;</i>- Tim Atkin MW, SA Special Report 2015, 95/100</p>
<p><i>&lsquo;Sense of place in this iconic flagship; richly vinous more than fruity, with supple muscularity. 2011 touch more aromatic in youth, with hint oak (new French); but firm underbelly, austere conclusion from its 70% Cabernet Sauvignon portends well for future. Cabernet Franc and Merlot complete blend.&rsquo;</i> - Platter&rsquo;s SA Wine Guide, 4.5* (2015)</p>"
Paul Sauer;2012;750ml;1;;"<p><i>'This brilliant Bordeaux blend of Cabernet Sauvignon with 15% each of Merlot and Cabernet </i><i>Franc is always sourced from the same 40-year-old block on the farm. Leafy, floral and </i><i>subtle, with notes of spice and cigar box, it carries its tannins lightly. A stunning Paul Sauer </i><i>release. Drink: 2016-30</i>' - Tim Atkin SA Wine Report 2016, 96/100</p>
<p><em>'Cabernet-based flagship, with Cabernet Franc, Merlot. 2012 with usual richly vinous, muscular build; penetrating ripe fruit to balance concluding austerity. Beautifully composed, complemented by new oak, a long, fine future assured.</em> '- Platter's SA Wine Guide 2016, 4.5*</p>"
Paul Sauer;2013;750ml;1;;"Regarded as a SA ‘first growth’ Bordeaux-style blend, traditionally Cabernet-based with Cabernet Franc, Merlot, as in 2013. Reflects vintage’s bright fruit; elegantly spiced Cabernet berries. Fresher, less muscular than 2012 but no shortage of potential.' - Platter's SA Wine Guide 4.5*, 2017"
Paul Sauer;2014;750ml;1;;"<p><i>&lsquo;Paul Sauer is one of the few genuine Cape icons. Blending mostly Cabernet Sauvignon with Merlot and Cabernet Franc, it always seems to absorb its 24 months in new oak with ease. More forward than the straight Kanonkop Cabernet but just as age worthy, this is savoury and focused with leafy freshness. Drink 2019-30.&rsquo;</i> - Tim Atkin MW, SA Special Report 2017, 96/100</p>
<p><i>&lsquo;Regarded as a SA &lsquo;first growth&rsquo; Bordeaux blend, traditionally Cabernet-based with Merlot, Cabernet Franc, as in 2014 with 74/17/9 composition. Plush fruit soaks up 100% new French oak, is reined in by long, structuring tannins. Trademark ageability, as for bright-fruited 2013 (4.5 stars, 92 pts). Formats up to 18L.&rsquo;</i> - Platter&rsquo;s Guide, 5* (95/100) (2018)</p>"
Paul Sauer;2015;750ml;1;;"<p><em>A great wine, with a distinguished track record in one of the best-ever Cape vintages: if any South African wine deserves 100 points, and I strongly believe that it does, then it is the brilliant 2015 Paul Sauer, one of the greatest young wines I have ever tasted.&rsquo;</em>&nbsp; Tim Atkin SA Special Report 2018, 100/100</p>
<p><em>'Rightly regarded as SA &lsquo;first growth&rsquo; Bordeaux blend, traditionally Cabernet-based with Merlot, Cabernet Franc; 70/15/15 in 2015 which, though less plush than 2014 in cooler summer, exudes a controlled opulence thanks to satisfying dry finish and firm tannic foundation for extended ageing.'</em> - Platter's SA Wine Guide 2019, 5* (95/100)</p>"
Paul Sauer;2016;750ml;1;;"Stately and ageworthy Bordeaux blend. Mostly Cabernet Sauvignon, as ever, in 2016 with Merlot, Cabernet Franc (62/25/13); classic bouquet of cassis, lead pencil and hedgerow fruit with extra flesh from slightly more Merlot than usual. Hallmark oystershell minerality, fine powdery tannins. Like Cabernet Sauvignon sibling, proud record of, now, 12 maximum ratings.' - Platter's SA Wine Guide 2020, 5* (96/100)"
Paul Sauer;2017;750ml;1;;"Easily amongst Cape’s most renowned wines. Cabernet upped to 76% in 2017; Cabernet Franc 17%, Merlot. Classic aromas of cedar and cassis plus vanilla and tobacco from all-new oak that time will integrate. Firm, excellent tannic structure, supple and rich, still with sweet primary fruit plus savoury intensity. Long, long finish points to great concentration. A wine for decades to come.' - Platter's SA Wine Guide 2021, 5* (98/100)"
Paul Sauer;2018;750ml;6;;Renowned as among the Cape’s greatest reds. 2018 has 70% Cabernet Sauvignon with Cabernet Franc and Merlot. Classic aromas cedar and cassis plus vanilla and tobacco from all-new oak. Fine wine, with less concentration and density than 2017 (5 stars, 98 pts), but some might even prefer its lighter, supple elegance.' - Platter's SA Wine Guide 2022, 4.5* (94/100)
Paul Sauer;2019;750ml;6;;
Paul Sauer;2020;750ml;6;;
Paul Sauer;2021;750ml;6;;
Paul Sauer;2022;750ml;6;;
Paul Sauer;2023;750ml;6;;
Paul Sauer;2024;750ml;6;;
Paul Sauer;2025;750ml;6;;
Paul Sauer;2026;750ml;6;;
Paul Sauer;2027;750ml;6;;
Paul Sauer;2028;750ml;6;;
Paul Sauer;2029;750ml;6;;
