,vintage,nr_tokens,name,volume_ml,lot_size,seal codes,description,description_missing,multplier,full_description,src_image,dst_image
12,1992,2,Rubicon 1992,750,2,0066 - 177506,"‘Quiet understatement, free of both forward fruit and weighty, alcoholic Cape statements has been a byword of French-speaking proprietor Myburgh and Dalla Cia. A measured, tasty, grapey vinosity is the hallmark. '92 integrated, very pleasing, obviously from same stable.’  Platter’s SA Wine Guide 1998, 4*",0,,"Seal Code: 0066 - 177506

‘Quiet understatement, free of both forward fruit and weighty, alcoholic Cape statements has been a byword of French-speaking proprietor Myburgh and Dalla Cia. A measured, tasty, grapey vinosity is the hallmark. '92 integrated, very pleasing, obviously from same stable.’  Platter’s SA Wine Guide 1998, 4*",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1992 0066 - 177506.jpg,farms/meerlust/rubicon/output/assets/12.jpg
13,1993,2,Rubicon 1993,750,2,0222 - 280092,,1,,"Seal Code: 0222 - 280092

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1993 0222 - 303720.jpg,farms/meerlust/rubicon/output/assets/13.jpg
14,1993,2,Rubicon 1993,750,2,0222 - 303720,,1,,"Seal Code: 0222 - 303720

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1993 0222 - 303720.jpg,farms/meerlust/rubicon/output/assets/14.jpg
15,1994,2,Rubicon 1994,750,2,0305 - 121467,"‘For many – including followers abroad – this remains an ultimate name and statement in Cape claret style. Rubicon remains the quintessence of refined understatement – serious, medium-textured vinosity, ripe but not overripe berry flavours, moderate grip from tannins, essentially dry rather than fruity-sweet. Winemaker Dalla Cia considers Rubicon a “better, richer, more complex wine than cabernet sauvignon on its own could ever be”. Here, the blend is about 65-70% cabernet, 20-25% merlot, balance Cabernet. Franc. New Nevers barrel-matured about 18 months to 2 years, through malo. Dalla Cia has never wavered stylistically: while others see-sawed between bold fruity “New World modernity” and “Cape tradition” this Bordeaux-style standard-bearer has kept a constant course, for nearly 2 decades, openly aiming at European restraint and vinosity. 94 splendid array of layered fruit, tannin, oak.’ – Platter’s SA Wine Guide (1999)
'The 1994 is traditional in style with a freshness that belies its age, red berry fruit and delicate complexity.' Roland Peens 91 points 2019",0,,"Seal Code: 0305 - 121467

‘For many – including followers abroad – this remains an ultimate name and statement in Cape claret style. Rubicon remains the quintessence of refined understatement – serious, medium-textured vinosity, ripe but not overripe berry flavours, moderate grip from tannins, essentially dry rather than fruity-sweet. Winemaker Dalla Cia considers Rubicon a “better, richer, more complex wine than cabernet sauvignon on its own could ever be”. Here, the blend is about 65-70% cabernet, 20-25% merlot, balance Cabernet. Franc. New Nevers barrel-matured about 18 months to 2 years, through malo. Dalla Cia has never wavered stylistically: while others see-sawed between bold fruity “New World modernity” and “Cape tradition” this Bordeaux-style standard-bearer has kept a constant course, for nearly 2 decades, openly aiming at European restraint and vinosity. 94 splendid array of layered fruit, tannin, oak.’ – Platter’s SA Wine Guide (1999)
'The 1994 is traditional in style with a freshness that belies its age, red berry fruit and delicate complexity.' Roland Peens 91 points 2019",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1994 0305 - 121925.jpg,farms/meerlust/rubicon/output/assets/15.jpg
16,1994,2,Rubicon 1994,750,2,0305 - 121925,"‘For many – including followers abroad – this remains an ultimate name and statement in Cape claret style. Rubicon remains the quintessence of refined understatement – serious, medium-textured vinosity, ripe but not overripe berry flavours, moderate grip from tannins, essentially dry rather than fruity-sweet. Winemaker Dalla Cia considers Rubicon a “better, richer, more complex wine than cabernet sauvignon on its own could ever be”. Here, the blend is about 65-70% cabernet, 20-25% merlot, balance Cabernet. Franc. New Nevers barrel-matured about 18 months to 2 years, through malo. Dalla Cia has never wavered stylistically: while others see-sawed between bold fruity “New World modernity” and “Cape tradition” this Bordeaux-style standard-bearer has kept a constant course, for nearly 2 decades, openly aiming at European restraint and vinosity. 94 splendid array of layered fruit, tannin, oak.’ – Platter’s SA Wine Guide (1999)
'The 1994 is traditional in style with a freshness that belies its age, red berry fruit and delicate complexity.' Roland Peens 91 points 2019",0,,"Seal Code: 0305 - 121925

‘For many – including followers abroad – this remains an ultimate name and statement in Cape claret style. Rubicon remains the quintessence of refined understatement – serious, medium-textured vinosity, ripe but not overripe berry flavours, moderate grip from tannins, essentially dry rather than fruity-sweet. Winemaker Dalla Cia considers Rubicon a “better, richer, more complex wine than cabernet sauvignon on its own could ever be”. Here, the blend is about 65-70% cabernet, 20-25% merlot, balance Cabernet. Franc. New Nevers barrel-matured about 18 months to 2 years, through malo. Dalla Cia has never wavered stylistically: while others see-sawed between bold fruity “New World modernity” and “Cape tradition” this Bordeaux-style standard-bearer has kept a constant course, for nearly 2 decades, openly aiming at European restraint and vinosity. 94 splendid array of layered fruit, tannin, oak.’ – Platter’s SA Wine Guide (1999)
'The 1994 is traditional in style with a freshness that belies its age, red berry fruit and delicate complexity.' Roland Peens 91 points 2019",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1994 0305 - 121925.jpg,farms/meerlust/rubicon/output/assets/16.jpg
17,1995,2,Rubicon 1995,750,2,0745 - 070191,"This iconic vintage graced the back page of Decanter’s magazine in 2000 with Michael Broadbent describing the vintage as ‘One of the Cape’s classics… Good fruit, lovely flavour and remarkably good value.’ In the same year Pierre Rovani reviewed the wine for The Wine Advocate, finding a cornucopia of fruits: ‘It exhibits fabulous aromas of dark fruits, spices, and some candied strawberries. It has a lovely satiny structure, excellent focus, elegance, and is crafted in a feminine style. This concentrated, spicy, cherry and blackberry syrup-flavoured offering has an exceptional finish filled with plums and tangy blackcurrants.’
Stored in professional cellaring since release, this is an extraordinarily rare investment opportunity to purchase a pristine 6-bottle case of arguably the greatest Rubicon vintage.",0,,"Seal Code: 0745 - 070191

This iconic vintage graced the back page of Decanter’s magazine in 2000 with Michael Broadbent describing the vintage as ‘One of the Cape’s classics… Good fruit, lovely flavour and remarkably good value.’ In the same year Pierre Rovani reviewed the wine for The Wine Advocate, finding a cornucopia of fruits: ‘It exhibits fabulous aromas of dark fruits, spices, and some candied strawberries. It has a lovely satiny structure, excellent focus, elegance, and is crafted in a feminine style. This concentrated, spicy, cherry and blackberry syrup-flavoured offering has an exceptional finish filled with plums and tangy blackcurrants.’
Stored in professional cellaring since release, this is an extraordinarily rare investment opportunity to purchase a pristine 6-bottle case of arguably the greatest Rubicon vintage.",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1995 0745 - 070238.jpg,farms/meerlust/rubicon/output/assets/17.jpg
18,1995,2,Rubicon 1995,750,2,0745 - 070238,"This iconic vintage graced the back page of Decanter’s magazine in 2000 with Michael Broadbent describing the vintage as ‘One of the Cape’s classics… Good fruit, lovely flavour and remarkably good value.’ In the same year Pierre Rovani reviewed the wine for The Wine Advocate, finding a cornucopia of fruits: ‘It exhibits fabulous aromas of dark fruits, spices, and some candied strawberries. It has a lovely satiny structure, excellent focus, elegance, and is crafted in a feminine style. This concentrated, spicy, cherry and blackberry syrup-flavoured offering has an exceptional finish filled with plums and tangy blackcurrants.’
Stored in professional cellaring since release, this is an extraordinarily rare investment opportunity to purchase a pristine 6-bottle case of arguably the greatest Rubicon vintage.",0,,"Seal Code: 0745 - 070238

This iconic vintage graced the back page of Decanter’s magazine in 2000 with Michael Broadbent describing the vintage as ‘One of the Cape’s classics… Good fruit, lovely flavour and remarkably good value.’ In the same year Pierre Rovani reviewed the wine for The Wine Advocate, finding a cornucopia of fruits: ‘It exhibits fabulous aromas of dark fruits, spices, and some candied strawberries. It has a lovely satiny structure, excellent focus, elegance, and is crafted in a feminine style. This concentrated, spicy, cherry and blackberry syrup-flavoured offering has an exceptional finish filled with plums and tangy blackcurrants.’
Stored in professional cellaring since release, this is an extraordinarily rare investment opportunity to purchase a pristine 6-bottle case of arguably the greatest Rubicon vintage.",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1995 0745 - 070238.jpg,farms/meerlust/rubicon/output/assets/18.jpg
19,1996,2,Rubicon 1996,750,2,0863 - 786697,,1,,"Seal Code: 0863 - 786697

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1996 0863 - 786697.jpg,farms/meerlust/rubicon/output/assets/19.jpg
20,1996,2,Rubicon 1996,750,2,0863 - 786704,,1,,"Seal Code: 0863 - 786704

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1996 0863 - 786697.jpg,farms/meerlust/rubicon/output/assets/20.jpg
21,1997,2,Rubicon 1997,750,2,0781 - 027661,,1,,"Seal Code: 0781 - 027661

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1997 0781 - 058228.jpg,farms/meerlust/rubicon/output/assets/21.jpg
22,1997,2,Rubicon 1997,750,2,0781 - 058228,,1,,"Seal Code: 0781 - 058228

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1997 0781 - 058228.jpg,farms/meerlust/rubicon/output/assets/22.jpg
23,1998,2,Rubicon 1998,750,2,0934 - 521282,"‘Brambly forest-floor berries hemmed in by intense grassiness, stylish finish signals maturation potential, but needs a decade from harvest. 70% Cabernet Sauvignon, 20% Merlot, 10% Cabernet Franc, 2 years in 80% new French oak.’ - Platter’s SA Wine Guide 2003, 4.5*
‘Muscular currant, cassis, iron and dark chocolate notes. Tannic, but lots of flesh, with a lingering tobacco note. Maybe a touch austere for some, but admirable concentration. Cabernet Sauvignon, Merlot and Cabernet Franc.’ - James Molesworth, Wine Spectator, 89/100 (Apr 2003)",0,,"Seal Code: 0934 - 521282

‘Brambly forest-floor berries hemmed in by intense grassiness, stylish finish signals maturation potential, but needs a decade from harvest. 70% Cabernet Sauvignon, 20% Merlot, 10% Cabernet Franc, 2 years in 80% new French oak.’ - Platter’s SA Wine Guide 2003, 4.5*
‘Muscular currant, cassis, iron and dark chocolate notes. Tannic, but lots of flesh, with a lingering tobacco note. Maybe a touch austere for some, but admirable concentration. Cabernet Sauvignon, Merlot and Cabernet Franc.’ - James Molesworth, Wine Spectator, 89/100 (Apr 2003)",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1998 0934 - 521282.jpg,farms/meerlust/rubicon/output/assets/23.jpg
24,1998,2,Rubicon 1998,750,2,0934 - 521130,"‘Brambly forest-floor berries hemmed in by intense grassiness, stylish finish signals maturation potential, but needs a decade from harvest. 70% Cabernet Sauvignon, 20% Merlot, 10% Cabernet Franc, 2 years in 80% new French oak.’ - Platter’s SA Wine Guide 2003, 4.5*
‘Muscular currant, cassis, iron and dark chocolate notes. Tannic, but lots of flesh, with a lingering tobacco note. Maybe a touch austere for some, but admirable concentration. Cabernet Sauvignon, Merlot and Cabernet Franc.’ - James Molesworth, Wine Spectator, 89/100 (Apr 2003)",0,,"Seal Code: 0934 - 521130

‘Brambly forest-floor berries hemmed in by intense grassiness, stylish finish signals maturation potential, but needs a decade from harvest. 70% Cabernet Sauvignon, 20% Merlot, 10% Cabernet Franc, 2 years in 80% new French oak.’ - Platter’s SA Wine Guide 2003, 4.5*
‘Muscular currant, cassis, iron and dark chocolate notes. Tannic, but lots of flesh, with a lingering tobacco note. Maybe a touch austere for some, but admirable concentration. Cabernet Sauvignon, Merlot and Cabernet Franc.’ - James Molesworth, Wine Spectator, 89/100 (Apr 2003)",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1998 0934 - 521282.jpg,farms/meerlust/rubicon/output/assets/24.jpg
25,1999,2,Rubicon 1999,750,2,3051 - 442251,"'This is quite earthy and with morish decay on the nose. The palate is fresher with dense, chocolatey fruit. Maybe starting to dry out, with its tannic, chunky finish. Large format should last a decade longer and warrant a higher score. Drink now.' - Roland Peens (Feb 2021), 90/100.
‘As flamboyant challengers – often laced with bulging ripe fruit and/or flagrant oak – come and go, this pre-eminent ‘Cape claret’, wih a two-decade bloodline, continues to hold court. Invariably fine-grained & classic; 99 dusty, cedar/tobacco notes, fruit still trussed up by lacy tannins Loaded with potential; needs at least a decade from harvest. 70% cab, 20% merlot, 10% cab f; 2 yrs Fr (Nevers) oak, 80% new.’ – Platter’s SA Wine Guide 2004, 4.5*",0,,"Seal Code: 3051 - 442251

'This is quite earthy and with morish decay on the nose. The palate is fresher with dense, chocolatey fruit. Maybe starting to dry out, with its tannic, chunky finish. Large format should last a decade longer and warrant a higher score. Drink now.' - Roland Peens (Feb 2021), 90/100.
‘As flamboyant challengers – often laced with bulging ripe fruit and/or flagrant oak – come and go, this pre-eminent ‘Cape claret’, wih a two-decade bloodline, continues to hold court. Invariably fine-grained & classic; 99 dusty, cedar/tobacco notes, fruit still trussed up by lacy tannins Loaded with potential; needs at least a decade from harvest. 70% cab, 20% merlot, 10% cab f; 2 yrs Fr (Nevers) oak, 80% new.’ – Platter’s SA Wine Guide 2004, 4.5*",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1999 3051 - 442251.jpg,farms/meerlust/rubicon/output/assets/25.jpg
26,1999,2,Rubicon 1999,750,2,3051 - 442247,"'This is quite earthy and with morish decay on the nose. The palate is fresher with dense, chocolatey fruit. Maybe starting to dry out, with its tannic, chunky finish. Large format should last a decade longer and warrant a higher score. Drink now.' - Roland Peens (Feb 2021), 90/100.
‘As flamboyant challengers – often laced with bulging ripe fruit and/or flagrant oak – come and go, this pre-eminent ‘Cape claret’, wih a two-decade bloodline, continues to hold court. Invariably fine-grained & classic; 99 dusty, cedar/tobacco notes, fruit still trussed up by lacy tannins Loaded with potential; needs at least a decade from harvest. 70% cab, 20% merlot, 10% cab f; 2 yrs Fr (Nevers) oak, 80% new.’ – Platter’s SA Wine Guide 2004, 4.5*",0,,"Seal Code: 3051 - 442247

'This is quite earthy and with morish decay on the nose. The palate is fresher with dense, chocolatey fruit. Maybe starting to dry out, with its tannic, chunky finish. Large format should last a decade longer and warrant a higher score. Drink now.' - Roland Peens (Feb 2021), 90/100.
‘As flamboyant challengers – often laced with bulging ripe fruit and/or flagrant oak – come and go, this pre-eminent ‘Cape claret’, wih a two-decade bloodline, continues to hold court. Invariably fine-grained & classic; 99 dusty, cedar/tobacco notes, fruit still trussed up by lacy tannins Loaded with potential; needs at least a decade from harvest. 70% cab, 20% merlot, 10% cab f; 2 yrs Fr (Nevers) oak, 80% new.’ – Platter’s SA Wine Guide 2004, 4.5*",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 1999 3051 - 442251.jpg,farms/meerlust/rubicon/output/assets/26.jpg
27,2000,3,Rubicon 2000,750,3,3711 - 324791,"“Deep purple ink colour. A spicy tobacco leaf and cigar box bouquet. Firm tannins, youthful palate. The wine is well-balanced and has good ageing potential.” - Best in Class Silver - International Wine and Spirits Competition ( IWCS ) 2005",0,,"Seal Code: 3711 - 324791

“Deep purple ink colour. A spicy tobacco leaf and cigar box bouquet. Firm tannins, youthful palate. The wine is well-balanced and has good ageing potential.” - Best in Class Silver - International Wine and Spirits Competition ( IWCS ) 2005",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 2000 3711 - 324791.jpg,farms/meerlust/rubicon/output/assets/27.jpg
28,2000,3,Rubicon 2000,750,3,3711 - 324794,"“Deep purple ink colour. A spicy tobacco leaf and cigar box bouquet. Firm tannins, youthful palate. The wine is well-balanced and has good ageing potential.” - Best in Class Silver - International Wine and Spirits Competition ( IWCS ) 2005",0,,"Seal Code: 3711 - 324794

“Deep purple ink colour. A spicy tobacco leaf and cigar box bouquet. Firm tannins, youthful palate. The wine is well-balanced and has good ageing potential.” - Best in Class Silver - International Wine and Spirits Competition ( IWCS ) 2005",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 2000 3711 - 324791.jpg,farms/meerlust/rubicon/output/assets/28.jpg
29,2000,3,Rubicon 2000,750,3,3711 - 324788,"“Deep purple ink colour. A spicy tobacco leaf and cigar box bouquet. Firm tannins, youthful palate. The wine is well-balanced and has good ageing potential.” - Best in Class Silver - International Wine and Spirits Competition ( IWCS ) 2005",0,,"Seal Code: 3711 - 324788

“Deep purple ink colour. A spicy tobacco leaf and cigar box bouquet. Firm tannins, youthful palate. The wine is well-balanced and has good ageing potential.” - Best in Class Silver - International Wine and Spirits Competition ( IWCS ) 2005",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 2000 3711 - 324791.jpg,farms/meerlust/rubicon/output/assets/29.jpg
30,2001,3,Rubicon 2001,750,3,3930 - 738025,"One of the all time greats from Meerlust, this was one of Giorgio dalla Cia’s last great vintages which won the Chateau Pichon Longueville Comtesse de Lalande Best Bordeaux Blend Trophy in 2006. Still beautifully vital and intensely coloured showing a crystalline ruby red hue. The nose is jam packed full of black cassis fruit, brûléed coffee beans, violets and sweet dried baking spices. Plush, lush and almost weightless in the mouth, the palate is so broad, concentrated, vibrant and intense, with the most harmonious youthful balance and seamless silky balance with just a hint of salinity and mineral graphite on the finish. So suave, so regal, this is a wine that defines elegance. A true South African icon. Drink now to 2040+. - Wine Safari Score: 96+/100 Greg Sherwood MW (2019)",0,,"Seal Code: 3930 - 738025

One of the all time greats from Meerlust, this was one of Giorgio dalla Cia’s last great vintages which won the Chateau Pichon Longueville Comtesse de Lalande Best Bordeaux Blend Trophy in 2006. Still beautifully vital and intensely coloured showing a crystalline ruby red hue. The nose is jam packed full of black cassis fruit, brûléed coffee beans, violets and sweet dried baking spices. Plush, lush and almost weightless in the mouth, the palate is so broad, concentrated, vibrant and intense, with the most harmonious youthful balance and seamless silky balance with just a hint of salinity and mineral graphite on the finish. So suave, so regal, this is a wine that defines elegance. A true South African icon. Drink now to 2040+. - Wine Safari Score: 96+/100 Greg Sherwood MW (2019)",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 2001 3930 - 740072.jpg,farms/meerlust/rubicon/output/assets/30.jpg
31,2001,3,Rubicon 2001,750,3,3930 - 740072,"One of the all time greats from Meerlust, this was one of Giorgio dalla Cia’s last great vintages which won the Chateau Pichon Longueville Comtesse de Lalande Best Bordeaux Blend Trophy in 2006. Still beautifully vital and intensely coloured showing a crystalline ruby red hue. The nose is jam packed full of black cassis fruit, brûléed coffee beans, violets and sweet dried baking spices. Plush, lush and almost weightless in the mouth, the palate is so broad, concentrated, vibrant and intense, with the most harmonious youthful balance and seamless silky balance with just a hint of salinity and mineral graphite on the finish. So suave, so regal, this is a wine that defines elegance. A true South African icon. Drink now to 2040+. - Wine Safari Score: 96+/100 Greg Sherwood MW (2019)",0,,"Seal Code: 3930 - 740072

One of the all time greats from Meerlust, this was one of Giorgio dalla Cia’s last great vintages which won the Chateau Pichon Longueville Comtesse de Lalande Best Bordeaux Blend Trophy in 2006. Still beautifully vital and intensely coloured showing a crystalline ruby red hue. The nose is jam packed full of black cassis fruit, brûléed coffee beans, violets and sweet dried baking spices. Plush, lush and almost weightless in the mouth, the palate is so broad, concentrated, vibrant and intense, with the most harmonious youthful balance and seamless silky balance with just a hint of salinity and mineral graphite on the finish. So suave, so regal, this is a wine that defines elegance. A true South African icon. Drink now to 2040+. - Wine Safari Score: 96+/100 Greg Sherwood MW (2019)",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 2001 3930 - 740072.jpg,farms/meerlust/rubicon/output/assets/31.jpg
32,2001,3,Rubicon 2001,750,3,3930 - 774418,"One of the all time greats from Meerlust, this was one of Giorgio dalla Cia’s last great vintages which won the Chateau Pichon Longueville Comtesse de Lalande Best Bordeaux Blend Trophy in 2006. Still beautifully vital and intensely coloured showing a crystalline ruby red hue. The nose is jam packed full of black cassis fruit, brûléed coffee beans, violets and sweet dried baking spices. Plush, lush and almost weightless in the mouth, the palate is so broad, concentrated, vibrant and intense, with the most harmonious youthful balance and seamless silky balance with just a hint of salinity and mineral graphite on the finish. So suave, so regal, this is a wine that defines elegance. A true South African icon. Drink now to 2040+. - Wine Safari Score: 96+/100 Greg Sherwood MW (2019)",0,,"Seal Code: 3930 - 774418

One of the all time greats from Meerlust, this was one of Giorgio dalla Cia’s last great vintages which won the Chateau Pichon Longueville Comtesse de Lalande Best Bordeaux Blend Trophy in 2006. Still beautifully vital and intensely coloured showing a crystalline ruby red hue. The nose is jam packed full of black cassis fruit, brûléed coffee beans, violets and sweet dried baking spices. Plush, lush and almost weightless in the mouth, the palate is so broad, concentrated, vibrant and intense, with the most harmonious youthful balance and seamless silky balance with just a hint of salinity and mineral graphite on the finish. So suave, so regal, this is a wine that defines elegance. A true South African icon. Drink now to 2040+. - Wine Safari Score: 96+/100 Greg Sherwood MW (2019)",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 2001 3930 - 740072.jpg,farms/meerlust/rubicon/output/assets/32.jpg
33,2003,3,Rubicon 2003,750,3,4677 - 0263803,,1,,"Seal Code: 4677 - 0263803

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 2003 4677 - 0263821.jpg,farms/meerlust/rubicon/output/assets/33.jpg
34,2003,3,Rubicon 2003,750,3,4677 - 0263821,,1,,"Seal Code: 4677 - 0263821

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 2003 4677 - 0263821.jpg,farms/meerlust/rubicon/output/assets/34.jpg
35,2003,3,Rubicon 2003,750,3,4677 - 0263815,,1,,"Seal Code: 4677 - 0263815

",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 2003 4677 - 0263821.jpg,farms/meerlust/rubicon/output/assets/35.jpg
36,2004,3,Rubicon 2004,750,3,4527 - 0476438,"‘Elegant but not insubstantial, 04 is Chris Williams’s debut with long-time Cape icon. 64% cab; merlot, cab f. Silk rather than brocade; blackcurrant, raspberry notes deliver harmony, length & balance. 2 yrs oak, 80% new. Deserves cellaring.’ – Platter’s SA Wine Guide 2009, 4.5*
‘Concentrated and grippy, with dark, roasted plum, black licorice, charcoal, mesquite and bittersweet cocoa notes. Traditional in vein, with an iron- and earth-filled finish that should soften nicely with cellaring. Cabernet Sauvignon, Merlot and Cabernet Franc.’ – 90/100 Wine Spectator (2008)",0,,"Seal Code: 4527 - 0476438

‘Elegant but not insubstantial, 04 is Chris Williams’s debut with long-time Cape icon. 64% cab; merlot, cab f. Silk rather than brocade; blackcurrant, raspberry notes deliver harmony, length & balance. 2 yrs oak, 80% new. Deserves cellaring.’ – Platter’s SA Wine Guide 2009, 4.5*
‘Concentrated and grippy, with dark, roasted plum, black licorice, charcoal, mesquite and bittersweet cocoa notes. Traditional in vein, with an iron- and earth-filled finish that should soften nicely with cellaring. Cabernet Sauvignon, Merlot and Cabernet Franc.’ – 90/100 Wine Spectator (2008)",farms/meerlust/rubicon/input/bottels/1s/Meerlust Rubicon 2004 4527 - 0475737.jpg,farms/meerlust/rubicon/output/assets/36.jpg
